行为编号,所属活动,开始时间,结束时间,行为类型,主体,客体（行为目的）,布鲁姆教育目标分类,任务完成情况,工具,共同体（互动范围）,证据来源,备注
B1,AV1,0:00:14,0:00:17,课堂常规,T&S,课堂问候,不适用,部分完成,不适用,T→S_whole,"V, R",[导入]
B1,AV1,0:00:17,0:00:20,课堂常规,T&S,课堂问候,不适用,部分完成,不适用,T→S_whole,"V, R",[导入]
B1,AV1,0:00:20,0:00:23,课堂常规,T&S,课堂问候,不适用,部分完成,不适用,T→S_whole,"V, R",[导入]
B1,AV1,0:00:23,0:00:26,课堂常规,T&S,课堂问候,不适用,部分完成,不适用,T→S_whole,"V, R",[导入]
B1,AV1,0:00:26,0:00:29,课堂常规,T&S,课堂问候,不适用,部分完成,不适用,T→S_whole,"V, R",[导入]
B1,AV1,0:00:29,0:00:32,课堂常规,T&S,课堂问候,不适用,完成,不适用,T→S_whole,"V, R",[导入]
B2,AV1,0:00:32,0:00:35,刺激回忆旧知,T&S,会议之前比例知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B2,AV1,0:00:35,0:00:38,刺激回忆旧知,T&S,会议之前比例知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B2,AV1,0:00:38,0:00:41,刺激回忆旧知,T&S,会议之前比例知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B2,AV1,0:00:41,0:00:44,刺激回忆旧知,T&S,会议之前比例知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B2,AV1,0:00:44,0:00:47,刺激回忆旧知,T&S,会议之前比例知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B2,AV1,0:00:47,0:00:50,刺激回忆旧知,T&S,会议之前比例知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B2,AV1,0:00:50,0:00:53,刺激回忆旧知,T&S,会议之前比例知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B2,AV1,0:00:53,0:00:56,刺激回忆旧知,T&S,会议之前比例知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B2,AV1,0:00:56,0:00:59,刺激回忆旧知,T&S,会议之前比例知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B2,AV1,0:00:59,0:01:02,刺激回忆旧知,T&S,会议之前比例知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B2,AV1,0:01:02,0:01:05,刺激回忆旧知,T&S,会议之前比例知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B2,AV1,0:01:05,0:01:08,刺激回忆旧知,T&S,会议之前比例知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B2,AV1,0:01:08,0:01:11,刺激回忆旧知,T&S,会议之前比例知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B2,AV1,0:01:11,0:01:14,刺激回忆旧知,T&S,会议之前比例知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B2,AV1,0:01:14,0:01:17,刺激回忆旧知,T&S,会议之前比例知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B2,AV1,0:01:17,0:01:20,刺激回忆旧知,T&S,会议之前比例知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B2,AV1,0:01:20,0:01:23,刺激回忆旧知,T&S,会议之前比例知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B2,AV1,0:01:23,0:01:26,刺激回忆旧知,T&S,会议之前比例知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B2,AV1,0:01:26,0:01:29,刺激回忆旧知,T&S,会议之前比例知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B2,AV1,0:01:29,0:01:32,刺激回忆旧知,T&S,会议之前比例知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B2,AV1,0:01:32,0:01:35,刺激回忆旧知,T&S,会议之前比例知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B2,AV1,0:01:35,0:01:38,刺激回忆旧知,T&S,会议之前比例知识,记忆,完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B3,AV1,0:01:38,0:01:41,刺激回忆旧知,T&S,要求学生回答上节课知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B3,AV1,0:01:41,0:01:44,刺激回忆旧知,T&S,要求学生回答上节课知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B3,AV1,0:01:44,0:01:47,刺激回忆旧知,T&S,要求学生回答上节课知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B3,AV1,0:01:47,0:01:50,刺激回忆旧知,T&S,要求学生回答上节课知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B3,AV1,0:01:50,0:01:53,刺激回忆旧知,T&S,要求学生回答上节课知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B3,AV1,0:01:53,0:01:56,刺激回忆旧知,T&S,要求学生回答上节课知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B3,AV1,0:01:56,0:01:59,刺激回忆旧知,T&S,要求学生回答上节课知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B3,AV1,0:01:59,0:02:02,刺激回忆旧知,T&S,要求学生回答上节课知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B3,AV1,0:02:02,0:02:05,刺激回忆旧知,T&S,要求学生回答上节课知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B3,AV1,0:02:05,0:02:08,刺激回忆旧知,T&S,要求学生回答上节课知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B3,AV1,0:02:08,0:02:11,刺激回忆旧知,T&S,要求学生回答上节课知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B3,AV1,0:02:11,0:02:14,刺激回忆旧知,T&S,要求学生回答上节课知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B3,AV1,0:02:14,0:02:17,刺激回忆旧知,T&S,要求学生回答上节课知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B3,AV1,0:02:17,0:02:20,刺激回忆旧知,T&S,要求学生回答上节课知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B3,AV1,0:02:20,0:02:23,刺激回忆旧知,T&S,要求学生回答上节课知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B3,AV1,0:02:23,0:02:26,刺激回忆旧知,T&S,要求学生回答上节课知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B3,AV1,0:02:26,0:02:29,刺激回忆旧知,T&S,要求学生回答上节课知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B3,AV1,0:02:29,0:02:32,刺激回忆旧知,T&S,要求学生回答上节课知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B3,AV1,0:02:32,0:02:35,刺激回忆旧知,T&S,要求学生回答上节课知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B3,AV1,0:02:35,0:02:38,刺激回忆旧知,T&S,要求学生回答上节课知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B3,AV1,0:02:38,0:02:41,刺激回忆旧知,T&S,要求学生回答上节课知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B3,AV1,0:02:41,0:02:44,刺激回忆旧知,T&S,要求学生回答上节课知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B3,AV1,0:02:44,0:02:47,刺激回忆旧知,T&S,要求学生回答上节课知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B3,AV1,0:02:47,0:02:50,刺激回忆旧知,T&S,要求学生回答上节课知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B3,AV1,0:02:50,0:02:53,刺激回忆旧知,T&S,要求学生回答上节课知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B3,AV1,0:02:53,0:02:56,刺激回忆旧知,T&S,要求学生回答上节课知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B3,AV1,0:02:56,0:02:59,刺激回忆旧知,T&S,要求学生回答上节课知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B3,AV1,0:02:59,0:03:00,刺激回忆旧知,T&S,要求学生回答上节课知识,记忆,完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B4,AV2,0:03:00,0:03:03,呈现刺激材料,T&S,呈现课堂讲述内容，风景照的比例,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[新知学习]
B4,AV2,0:03:03,0:03:06,呈现刺激材料,T&S,呈现课堂讲述内容，风景照的比例,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[新知学习]
B4,AV2,0:03:06,0:03:09,呈现刺激材料,T&S,呈现课堂讲述内容，风景照的比例,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[新知学习]
B4,AV2,0:03:09,0:03:12,呈现刺激材料,T&S,呈现课堂讲述内容，风景照的比例,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[新知学习]
B4,AV2,0:03:12,0:03:15,呈现刺激材料,T&S,呈现课堂讲述内容，风景照的比例,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[新知学习]
B4,AV2,0:03:15,0:03:18,呈现刺激材料,T&S,呈现课堂讲述内容，风景照的比例,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[新知学习]
B4,AV2,0:03:18,0:03:21,呈现刺激材料,T&S,呈现课堂讲述内容，风景照的比例,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[新知学习]
B4,AV2,0:03:21,0:03:24,呈现刺激材料,T&S,呈现课堂讲述内容，风景照的比例,记忆,完成,ppt+口头讲述,T→S_whole,"V, R",[新知学习]
B5,AV2,0:03:24,0:03:27,诱发学习行为/引出行为,T&S,要求学生回答关于这张图片发现了什么问题,理解,部分完成,ppt+口头讲述,T→S_ind,"V, R",[新知学习]
