行为编号,所属活动,开始时间,结束时间,行为类型,主体,客体（行为目的）,布鲁姆教育目标分类,任务完成情况,工具,共同体（互动范围）,证据来源,备注
B1,AV1,0:00:14,0:00:17,课堂常规,T&S,课堂问候,不适用,部分完成,不适用,T→S_whole,"V, R",[导入]
B2,AV1,0:00:17,0:00:20,课堂常规,T&S,课堂问候,不适用,部分完成,不适用,T→S_whole,"V, R",[导入]
B3,AV1,0:00:20,0:00:23,课堂常规,T&S,课堂问候,不适用,部分完成,不适用,T→S_whole,"V, R",[导入]
B4,AV1,0:00:23,0:00:26,课堂常规,T&S,课堂问候,不适用,部分完成,不适用,T→S_whole,"V, R",[导入]
B5,AV1,0:00:26,0:00:29,课堂常规,T&S,课堂问候,不适用,部分完成,不适用,T→S_whole,"V, R",[导入]
B6,AV1,0:00:29,0:00:32,课堂常规,T&S,课堂问候,不适用,完成,不适用,T→S_whole,"V, R",[导入]
B7,AV1,0:00:32,0:00:35,刺激回忆旧知,T&S,会议之前比例知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B8,AV1,0:00:35,0:00:38,刺激回忆旧知,T&S,会议之前比例知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B9,AV1,0:00:38,0:00:41,刺激回忆旧知,T&S,会议之前比例知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B10,AV1,0:00:41,0:00:44,刺激回忆旧知,T&S,会议之前比例知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B11,AV1,0:00:44,0:00:47,刺激回忆旧知,T&S,会议之前比例知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B12,AV1,0:00:47,0:00:50,刺激回忆旧知,T&S,会议之前比例知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B13,AV1,0:00:50,0:00:53,刺激回忆旧知,T&S,会议之前比例知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B14,AV1,0:00:53,0:00:56,刺激回忆旧知,T&S,会议之前比例知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B15,AV1,0:00:56,0:00:59,刺激回忆旧知,T&S,会议之前比例知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B16,AV1,0:00:59,0:01:02,刺激回忆旧知,T&S,会议之前比例知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B17,AV1,0:01:02,0:01:05,刺激回忆旧知,T&S,会议之前比例知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B18,AV1,0:01:05,0:01:08,刺激回忆旧知,T&S,会议之前比例知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B19,AV1,0:01:08,0:01:11,刺激回忆旧知,T&S,会议之前比例知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B20,AV1,0:01:11,0:01:14,刺激回忆旧知,T&S,会议之前比例知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B21,AV1,0:01:14,0:01:17,刺激回忆旧知,T&S,会议之前比例知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B22,AV1,0:01:17,0:01:20,刺激回忆旧知,T&S,会议之前比例知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B23,AV1,0:01:20,0:01:23,刺激回忆旧知,T&S,会议之前比例知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
B24,AV1,0:01:23,0:01:26,刺激回忆旧知,T&S,会议之前比例知识,记忆,部分完成,ppt+口头讲述,T→S_whole,"V, R",[导入]
